id,day,scenario_label,area,area_label,group_size,arrival_time,hour,stay_duration_minutes,seating_preference,seating_preference_label,result_level,result_label,score,candidate_count,top_store_name,top_store_category,top_store_total_seats,top_store_free_seats,top_store_occupied_seats,top_store_occupancy_ratio,top_store_max_contiguous,top_store_max_open_contiguous,top_store_max_split,top_store_available_tables,plan_kind,plan_table_count,occupancy_blocked,blocked_store_count,blocked_store_names,top_reason
req-00019,1,소규모 술자리,back_gate,후문,2,20:35,20시대,100,split_ok,일부 분리 가능,together_likely,같이 앉기 가능성 높음,79,3,둥근테이블,술집,30,8,22,0.7333,4,4,30,3,together_single,1,true,1,후문마당,현재 빈 테이블 기준으로 2인 테이블 1개 배정이 가능합니다.
req-00012,1,과 행사 뒤풀이,food_street,먹자골목,12,20:40,20시대,122,split_ok,일부 분리 가능,inquiry_recommended,문의 권장,33.12,1,큰마당호프,호프,54,10,44,0.8148,18,6,54,3,together_combined,4,true,2,큰마당호프 | 반칸라운지,입장 가능 여부는 매장에 대기/정리 시간을 문의해야 합니다.
req-00009,1,동아리 소모임,food_street,먹자골목,5,21:09,21시대,154,any,같은 매장이면 괜찮음,inquiry_recommended,문의 권장,49.6,2,반칸라운지,라운지,40,10,30,0.75,20,6,40,3,together_single,1,false,0,,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00003,1,동아리 소모임,front_gate,정문,5,21:37,21시대,121,any,같은 매장이면 괜찮음,inquiry_recommended,문의 권장,46.63,2,강의끝포차,포차,34,10,24,0.7059,8,6,34,4,together_combined,2,false,0,,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00027,1,동아리 소모임,food_street,먹자골목,6,21:39,21시대,118,any,같은 매장이면 괜찮음,inquiry_recommended,문의 권장,55.44,2,큰마당호프,호프,54,20,34,0.6296,18,12,54,6,together_single,1,true,1,반칸라운지,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00031,1,동아리 전체 모임,food_street,먹자골목,13,22:03,22시대,132,any,같은 매장이면 괜찮음,split_only,분리 착석 가능,49,2,반칸라운지,라운지,40,18,22,0.55,20,10,40,5,split,3,false,0,,붙어 앉기는 어렵지만 현재 빈 테이블 3개로 분리 착석은 가능합니다.
req-00023,1,학생회 행사 후 모임,back_gate,후문,10,22:07,22시대,171,split_ok,일부 분리 가능,split_only,분리 착석 가능,43.4,2,둥근테이블,술집,30,12,18,0.6,4,4,30,4,split,3,true,2,후문마당 | 골목분식포차,붙어 앉기는 어렵지만 현재 빈 테이블 3개로 분리 착석은 가능합니다.
req-00021,1,친구 모임,food_street,먹자골목,5,22:43,22시대,99,split_ok,일부 분리 가능,inquiry_recommended,문의 권장,54.6,2,반칸라운지,라운지,40,16,24,0.6,20,8,40,4,together_single,1,false,0,,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00034,1,과 행사 뒤풀이,food_street,먹자골목,9,22:43,22시대,137,split_ok,일부 분리 가능,inquiry_recommended,문의 권장,40.71,1,큰마당호프,호프,54,14,40,0.7407,18,12,54,5,together_combined,3,true,1,반칸라운지,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00007,1,소규모 술자리,front_gate,정문,3,22:45,22시대,89,any,같은 매장이면 괜찮음,together_likely,같이 앉기 가능성 높음,84.2,2,긴테이블집,한식주점,30,14,16,0.5333,10,10,30,2,together_single,1,false,0,,현재 빈 테이블 기준으로 4인 테이블 1개 배정이 가능합니다.
req-00022,1,MT 뒤풀이,back_gate,후문,10,22:58,22시대,122,any,같은 매장이면 괜찮음,split_only,분리 착석 가능,48.8,2,둥근테이블,술집,30,14,16,0.5333,4,4,30,5,split,3,true,2,후문마당 | 골목분식포차,붙어 앉기는 어렵지만 현재 빈 테이블 3개로 분리 착석은 가능합니다.
req-00016,1,조모임 뒤풀이,station,역 앞,8,23:01,23시대,111,any,같은 매장이면 괜찮음,together_likely,같이 앉기 가능성 높음,83,2,조용한룸,이자카야,30,16,14,0.4667,10,10,30,3,together_single,1,false,0,,현재 빈 테이블 기준으로 룸 테이블 1개 배정이 가능합니다.
req-00004,1,동아리 전체 모임,food_street,먹자골목,11,23:17,23시대,173,any,같은 매장이면 괜찮음,inquiry_recommended,문의 권장,35.57,1,큰마당호프,호프,54,12,42,0.7778,18,12,54,4,together_combined,4,true,1,반칸라운지,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00029,1,동아리 소모임,food_street,먹자골목,5,23:40,23시대,90,together,붙어 앉기 선호,inquiry_recommended,문의 권장,46.6,1,큰마당호프,호프,54,18,36,0.6667,18,12,54,4,together_single,1,true,1,반칸라운지,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00028,1,소규모 술자리,back_gate,후문,2,23:50,23시대,87,any,같은 매장이면 괜찮음,together_likely,같이 앉기 가능성 높음,85.53,3,후문마당,고깃집,36,22,14,0.3889,12,12,36,5,together_single,1,false,0,,현재 빈 테이블 기준으로 4인 테이블 1개 배정이 가능합니다.
req-00024,1,친구 모임,food_street,먹자골목,3,23:51,23시대,112,split_ok,일부 분리 가능,inquiry_recommended,문의 권장,46.33,1,큰마당호프,호프,54,6,48,0.8889,18,6,54,2,together_single,1,true,1,반칸라운지,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00008,1,과 행사 뒤풀이,front_gate,정문,9,00:23(+1),24시대(0시대),135,split_ok,일부 분리 가능,inquiry_recommended,문의 권장,34.32,1,강의끝포차,포차,34,6,28,0.8235,8,4,34,3,split,3,true,2,강의끝포차 | 긴테이블집,입장 가능 여부는 매장에 대기/정리 시간을 문의해야 합니다.
req-00032,1,소규모 술자리,back_gate,후문,2,00:24(+1),24시대(0시대),122,any,같은 매장이면 괜찮음,together_likely,같이 앉기 가능성 높음,88.97,3,골목분식포차,분식포차,14,10,4,0.2857,4,4,14,4,together_single,1,true,1,후문마당,현재 빈 테이블 기준으로 2인 테이블 1개 배정이 가능합니다.
req-00014,1,친구 모임,back_gate,후문,4,00:25(+1),24시대(0시대),86,together,붙어 앉기 선호,together_likely,같이 앉기 가능성 높음,84.06,3,골목분식포차,분식포차,14,8,6,0.4286,4,4,14,3,together_single,1,true,1,후문마당,현재 빈 테이블 기준으로 4인 테이블 1개 배정이 가능합니다.
req-00005,1,친구 모임,front_gate,정문,6,00:47(+1),24시대(0시대),146,together,붙어 앉기 선호,together_likely,같이 앉기 가능성 높음,84.4,2,긴테이블집,한식주점,30,14,16,0.5333,10,10,30,2,together_single,1,false,0,,현재 빈 테이블 기준으로 10인 긴 테이블 1개 배정이 가능합니다.
req-00010,1,동아리 전체 모임,front_gate,정문,14,01:03(+1),25시대(1시대),133,together,붙어 앉기 선호,difficult,현재 조건에서는 어려움,0.47,0,강의끝포차,포차,34,24,10,0.2941,8,8,34,8,none,0,false,0,,붙어 앉기 선호 요청이지만 이 매장의 최대 붙여 앉기 가능 인원은 8명입니다.
req-00030,1,학생회 행사 후 모임,food_street,먹자골목,11,01:14(+1),25시대(1시대),128,split_ok,일부 분리 가능,inquiry_recommended,문의 권장,53,2,반칸라운지,라운지,40,28,12,0.3,20,14,40,6,together_combined,3,false,0,,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00018,1,동아리 소모임,food_street,먹자골목,8,01:15(+1),25시대(1시대),111,together,붙어 앉기 선호,together_likely,같이 앉기 가능성 높음,90.4,2,반칸라운지,라운지,40,28,12,0.3,20,14,40,6,together_single,1,false,0,,현재 빈 테이블 기준으로 8인 긴 테이블 1개 배정이 가능합니다.
req-00011,1,조모임 뒤풀이,food_street,먹자골목,8,01:30(+1),25시대(1시대),112,together,붙어 앉기 선호,together_likely,같이 앉기 가능성 높음,81.7,2,반칸라운지,라운지,40,16,24,0.6,20,10,40,4,together_combined,2,false,0,,현재 빈 테이블 기준으로 2개 테이블 결합 배정이 가능합니다.
req-00060,2,동아리 전체 모임,station,역 앞,10,18:26,18시대,170,split_ok,일부 분리 가능,together_likely,같이 앉기 가능성 높음,90,2,조용한룸,이자카야,30,30,0,0,10,10,30,7,together_single,1,false,0,,현재 빈 테이블 기준으로 룸 테이블 1개 배정이 가능합니다.
req-00047,2,소규모 술자리,station,역 앞,2,18:48,18시대,123,together,붙어 앉기 선호,together_likely,같이 앉기 가능성 높음,92.67,2,작은잔,바,18,16,2,0.1111,4,4,18,5,together_single,1,false,0,,현재 빈 테이블 기준으로 2인 테이블 1개 배정이 가능합니다.
req-00051,2,친구 모임,front_gate,정문,4,18:50,18시대,123,split_ok,일부 분리 가능,together_likely,같이 앉기 가능성 높음,90.47,2,강의끝포차,포차,34,24,10,0.2941,8,8,34,7,together_single,1,false,0,,현재 빈 테이블 기준으로 4인 테이블 1개 배정이 가능합니다.
req-00067,2,조모임 뒤풀이,back_gate,후문,7,19:21,19시대,95,together,붙어 앉기 선호,difficult,현재 조건에서는 어려움,8,0,둥근테이블,술집,30,30,0,0,4,4,30,9,none,0,true,1,후문마당,붙어 앉기 선호 요청이지만 이 매장의 최대 붙여 앉기 가능 인원은 4명입니다.
req-00053,2,조모임 뒤풀이,station,역 앞,7,19:37,19시대,139,split_ok,일부 분리 가능,split_only,분리 착석 가능,54.17,2,작은잔,바,18,10,8,0.4444,4,4,18,3,split,2,true,1,조용한룸,붙어 앉기는 어렵지만 현재 빈 테이블 2개로 분리 착석은 가능합니다.
req-00063,2,동아리 전체 모임,food_street,먹자골목,12,20:23,20시대,150,any,같은 매장이면 괜찮음,inquiry_recommended,문의 권장,29.1,1,큰마당호프,호프,54,0,54,1,18,0,54,0,together_combined,2,true,2,큰마당호프 | 반칸라운지,입장 가능 여부는 매장에 대기/정리 시간을 문의해야 합니다.
req-00038,2,조모임 뒤풀이,station,역 앞,6,20:33,20시대,112,together,붙어 앉기 선호,inquiry_recommended,문의 권장,36.3,1,조용한룸,이자카야,30,8,22,0.7333,10,6,30,3,together_combined,2,false,0,,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00040,2,친구 모임,back_gate,후문,2,20:51,20시대,88,split_ok,일부 분리 가능,together_likely,같이 앉기 가능성 높음,79.34,2,골목분식포차,분식포차,14,6,8,0.5714,4,4,14,2,together_single,1,true,1,후문마당,현재 빈 테이블 기준으로 2인 테이블 1개 배정이 가능합니다.
req-00036,2,소규모 술자리,food_street,먹자골목,4,20:57,20시대,80,split_ok,일부 분리 가능,inquiry_recommended,문의 권장,43.89,1,큰마당호프,호프,54,4,50,0.9259,18,4,54,1,together_single,1,true,1,반칸라운지,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00037,2,조모임 뒤풀이,front_gate,정문,6,20:57,20시대,129,together,붙어 앉기 선호,together_likely,같이 앉기 가능성 높음,81.4,2,긴테이블집,한식주점,30,14,16,0.5333,10,10,30,2,together_single,1,false,0,,현재 빈 테이블 기준으로 10인 긴 테이블 1개 배정이 가능합니다.
req-00043,2,조모임 뒤풀이,back_gate,후문,5,20:57,20시대,134,split_ok,일부 분리 가능,inquiry_recommended,문의 권장,39.73,1,골목분식포차,분식포차,14,4,10,0.7143,4,4,14,1,split,2,true,3,골목분식포차 | 후문마당 | 둥근테이블,입장 가능 여부는 매장에 대기/정리 시간을 문의해야 합니다.
req-00065,2,소규모 술자리,station,역 앞,3,21:14,21시대,135,together,붙어 앉기 선호,together_likely,같이 앉기 가능성 높음,87.93,2,작은잔,바,18,14,4,0.2222,4,4,18,5,together_single,1,true,1,조용한룸,현재 빈 테이블 기준으로 4인 테이블 1개 배정이 가능합니다.
req-00042,2,조모임 뒤풀이,food_street,먹자골목,7,21:19,21시대,96,together,붙어 앉기 선호,inquiry_recommended,문의 권장,43.1,2,큰마당호프,호프,54,18,36,0.6667,18,16,54,5,together_combined,2,true,1,반칸라운지,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00048,2,과 행사 뒤풀이,food_street,먹자골목,11,21:24,21시대,135,any,같은 매장이면 괜찮음,inquiry_recommended,문의 권장,43.2,2,큰마당호프,호프,54,18,36,0.6667,18,16,54,5,together_combined,3,true,1,반칸라운지,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00058,2,소규모 술자리,food_street,먹자골목,3,21:40,21시대,108,split_ok,일부 분리 가능,together_likely,같이 앉기 가능성 높음,81.71,1,큰마당호프,호프,54,14,40,0.7407,18,14,54,4,together_single,1,true,1,반칸라운지,현재 빈 테이블 기준으로 4인 테이블 1개 배정이 가능합니다.
req-00035,2,조모임 뒤풀이,food_street,먹자골목,5,21:56,21시대,120,split_ok,일부 분리 가능,inquiry_recommended,문의 권장,38.6,2,반칸라운지,라운지,40,0,40,1,20,0,40,0,together_single,1,true,2,반칸라운지 | 큰마당호프,입장 가능 여부는 매장에 대기/정리 시간을 문의해야 합니다.
req-00055,2,과 행사 뒤풀이,food_street,먹자골목,13,22:17,22시대,150,any,같은 매장이면 괜찮음,split_only,분리 착석 가능,40.51,1,큰마당호프,호프,54,14,40,0.7407,18,12,54,5,split,5,true,1,반칸라운지,붙어 앉기는 어렵지만 현재 빈 테이블 5개로 분리 착석은 가능합니다.
req-00050,2,조모임 뒤풀이,station,역 앞,8,22:29,22시대,125,split_ok,일부 분리 가능,inquiry_recommended,문의 권장,40.3,1,조용한룸,이자카야,30,6,24,0.8,10,6,30,2,together_combined,2,true,2,조용한룸 | 작은잔,입장 가능 여부는 매장에 대기/정리 시간을 문의해야 합니다.
req-00057,2,친구 모임,food_street,먹자골목,4,22:35,22시대,110,split_ok,일부 분리 가능,together_likely,같이 앉기 가능성 높음,82.11,2,큰마당호프,호프,54,14,40,0.7407,18,12,54,5,together_single,1,false,0,,현재 빈 테이블 기준으로 4인 테이블 1개 배정이 가능합니다.
req-00062,2,동아리 전체 모임,food_street,먹자골목,10,22:40,22시대,157,split_ok,일부 분리 가능,inquiry_recommended,문의 권장,34.72,2,큰마당호프,호프,54,10,44,0.8148,18,10,54,4,together_combined,4,true,1,반칸라운지,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00066,2,조모임 뒤풀이,campus_nearby,캠퍼스 주변,6,22:55,22시대,93,together,붙어 앉기 선호,inquiry_recommended,문의 권장,44.9,1,넓은홀식당,식당형 술집,48,14,34,0.7083,18,8,48,4,together_single,1,false,0,,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00045,2,조모임 뒤풀이,front_gate,정문,8,23:13,23시대,110,split_ok,일부 분리 가능,inquiry_recommended,문의 권장,37.71,2,강의끝포차,포차,34,4,30,0.8824,8,4,34,1,together_combined,2,true,2,강의끝포차 | 긴테이블집,입장 가능 여부는 매장에 대기/정리 시간을 문의해야 합니다.
req-00061,2,동아리 소모임,food_street,먹자골목,6,23:17,23시대,128,split_ok,일부 분리 가능,inquiry_recommended,문의 권장,38.2,1,큰마당호프,호프,54,0,54,1,18,0,54,0,together_single,1,true,2,큰마당호프 | 반칸라운지,입장 가능 여부는 매장에 대기/정리 시간을 문의해야 합니다.
req-00044,2,과 행사 뒤풀이,front_gate,정문,14,23:29,23시대,124,any,같은 매장이면 괜찮음,inquiry_recommended,문의 권장,30.83,1,강의끝포차,포차,34,10,24,0.7059,8,8,34,3,split,4,true,2,강의끝포차 | 긴테이블집,입장 가능 여부는 매장에 대기/정리 시간을 문의해야 합니다.
req-00041,2,조모임 뒤풀이,back_gate,후문,6,23:41,23시대,144,together,붙어 앉기 선호,inquiry_recommended,문의 권장,30.43,1,후문마당,고깃집,36,4,32,0.8889,12,4,36,1,together_combined,2,true,2,후문마당 | 골목분식포차,입장 가능 여부는 매장에 대기/정리 시간을 문의해야 합니다.
req-00059,2,친구 모임,food_street,먹자골목,6,23:44,23시대,149,split_ok,일부 분리 가능,inquiry_recommended,문의 권장,42.08,2,큰마당호프,호프,54,8,46,0.8519,18,8,54,2,together_combined,2,false,0,,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00068,2,조모임 뒤풀이,food_street,먹자골목,6,23:44,23시대,125,together,붙어 앉기 선호,inquiry_recommended,문의 권장,33.3,2,반칸라운지,라운지,40,6,34,0.85,20,6,40,2,together_combined,2,true,1,큰마당호프,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00064,2,동아리 소모임,food_street,먹자골목,7,23:51,23시대,151,split_ok,일부 분리 가능,inquiry_recommended,문의 권장,41.68,1,큰마당호프,호프,54,8,46,0.8519,18,8,54,2,together_combined,2,true,1,반칸라운지,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00049,2,동아리 소모임,back_gate,후문,8,23:56,23시대,115,any,같은 매장이면 괜찮음,split_only,분리 착석 가능,55.67,3,골목분식포차,분식포차,14,10,4,0.2857,4,4,14,3,split,2,true,1,후문마당,붙어 앉기는 어렵지만 현재 빈 테이블 2개로 분리 착석은 가능합니다.
req-00056,2,동아리 전체 모임,station,역 앞,12,00:09(+1),24시대(0시대),133,split_ok,일부 분리 가능,difficult,현재 조건에서는 어려움,0,0,조용한룸,이자카야,30,10,20,0.6667,10,10,30,1,none,0,true,2,조용한룸 | 작은잔,현재 점유 중인 테이블 때문에 요청 인원에 맞는 빈 테이블 조합이 부족합니다.
req-00039,2,친구 모임,station,역 앞,3,00:23(+1),24시대(0시대),91,split_ok,일부 분리 가능,together_likely,같이 앉기 가능성 높음,85.87,1,작은잔,바,18,10,8,0.4444,4,4,18,4,together_single,1,true,1,조용한룸,현재 빈 테이블 기준으로 4인 테이블 1개 배정이 가능합니다.
req-00054,2,친구 모임,front_gate,정문,3,00:54(+1),24시대(0시대),91,any,같은 매장이면 괜찮음,together_likely,같이 앉기 가능성 높음,87.2,2,긴테이블집,한식주점,30,14,16,0.5333,10,10,30,2,together_single,1,false,0,,현재 빈 테이블 기준으로 4인 테이블 1개 배정이 가능합니다.
req-00052,2,친구 모임,station,역 앞,5,01:31(+1),25시대(1시대),105,split_ok,일부 분리 가능,inquiry_recommended,문의 권장,47.7,2,조용한룸,이자카야,30,8,22,0.7333,10,6,30,3,together_combined,2,true,1,작은잔,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00046,2,친구 모임,back_gate,후문,2,01:43(+1),25시대(1시대),81,together,붙어 앉기 선호,together_likely,같이 앉기 가능성 높음,87.87,3,후문마당,고깃집,36,20,16,0.4444,12,12,36,5,together_single,1,false,0,,현재 빈 테이블 기준으로 4인 테이블 1개 배정이 가능합니다.
req-00088,3,친구 모임,back_gate,후문,3,18:39,18시대,113,any,같은 매장이면 괜찮음,together_likely,같이 앉기 가능성 높음,92,3,둥근테이블,술집,30,26,4,0.1333,4,4,30,7,together_single,1,false,0,,현재 빈 테이블 기준으로 4인 테이블 1개 배정이 가능합니다.
req-00083,3,동아리 소모임,back_gate,후문,5,18:47,18시대,115,split_ok,일부 분리 가능,together_likely,같이 앉기 가능성 높음,91.6,2,후문마당,고깃집,36,30,6,0.1667,12,12,36,7,together_single,1,true,1,골목분식포차,현재 빈 테이블 기준으로 6인 긴 테이블 1개 배정이 가능합니다.
req-00069,3,소규모 술자리,food_street,먹자골목,4,18:48,18시대,122,together,붙어 앉기 선호,together_likely,같이 앉기 가능성 높음,86.8,2,반칸라운지,라운지,40,16,24,0.6,20,12,40,5,together_single,1,false,0,,현재 빈 테이블 기준으로 4인 테이블 1개 배정이 가능합니다.
req-00092,3,동아리 소모임,back_gate,후문,8,18:53,18시대,115,split_ok,일부 분리 가능,split_only,분리 착석 가능,51.1,2,둥근테이블,술집,30,10,20,0.6667,4,4,30,3,split,2,true,1,골목분식포차,붙어 앉기는 어렵지만 현재 빈 테이블 2개로 분리 착석은 가능합니다.
req-00101,3,소규모 술자리,back_gate,후문,4,19:02,19시대,105,split_ok,일부 분리 가능,split_only,분리 착석 가능,48.93,1,골목분식포차,분식포차,14,4,10,0.7143,4,2,14,2,split,2,true,3,골목분식포차 | 후문마당 | 둥근테이블,붙어 앉기는 어렵지만 현재 빈 테이블 2개로 분리 착석은 가능합니다.
req-00085,3,친구 모임,front_gate,정문,4,19:34,19시대,128,any,같은 매장이면 괜찮음,together_likely,같이 앉기 가능성 높음,82.8,2,긴테이블집,한식주점,30,10,20,0.6667,10,6,30,2,together_single,1,false,0,,현재 빈 테이블 기준으로 4인 테이블 1개 배정이 가능합니다.
req-00102,3,학생회 행사 후 모임,station,역 앞,10,19:47,19시대,145,any,같은 매장이면 괜찮음,difficult,현재 조건에서는 어려움,0,0,조용한룸,이자카야,30,4,26,0.8667,10,4,30,1,none,0,true,2,조용한룸 | 작은잔,현재 점유 중인 테이블 때문에 요청 인원에 맞는 빈 테이블 조합이 부족합니다.
req-00093,3,동아리 전체 모임,food_street,먹자골목,9,20:34,20시대,122,split_ok,일부 분리 가능,inquiry_recommended,문의 권장,46.58,2,큰마당호프,호프,54,26,28,0.5185,18,16,54,6,together_combined,3,true,1,반칸라운지,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00097,3,조모임 뒤풀이,front_gate,정문,5,20:44,20시대,124,together,붙어 앉기 선호,inquiry_recommended,문의 권장,29,1,긴테이블집,한식주점,30,0,30,1,10,0,30,0,together_single,1,true,2,긴테이블집 | 강의끝포차,입장 가능 여부는 매장에 대기/정리 시간을 문의해야 합니다.
req-00079,3,조모임 뒤풀이,station,역 앞,8,21:02,21시대,132,split_ok,일부 분리 가능,split_only,분리 착석 가능,56.63,2,작은잔,바,18,14,4,0.2222,4,4,18,5,split,2,false,0,,붙어 앉기는 어렵지만 현재 빈 테이블 2개로 분리 착석은 가능합니다.
req-00094,3,조모임 뒤풀이,station,역 앞,5,21:07,21시대,147,together,붙어 앉기 선호,inquiry_recommended,문의 권장,39.1,1,조용한룸,이자카야,30,10,20,0.6667,10,8,30,3,together_combined,2,false,0,,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00081,3,과 행사 뒤풀이,food_street,먹자골목,9,21:18,21시대,143,split_ok,일부 분리 가능,inquiry_recommended,문의 권장,53.6,2,반칸라운지,라운지,40,40,0,0,20,20,40,9,together_combined,3,false,0,,빈자리는 있으나 피크 시간대 점유와 테이블 결합 여유가 작아 문의가 필요합니다.
req-00095,3,소규모 술자리,station,역 앞,3,21:30,21시대,123,any,같은 매장이면 괜찮음,together_likely,같이 앉기 가능성 높음,82.6,2,조용한룸,이자카야,30,12,18,0.6,10,8,30,4,together_single,1,false,0,,현재 빈 테이블 기준으로 4인 테이블 1개 배정이 가능합니다.
req-00087,3,조모임 뒤풀이,food_street,먹자골목,6,21:41,21시대,132,together,붙어 앉기 선호,together_likely,같이 앉기 가능성 높음,88,2,반칸라운지,라운지,40,30,10,0.25,20,12,40,7,together_single,1,false,0,,현재 빈 테이블 기준으로 6인 긴 테이블 1개 배정이 가능합니다.
req-00076,3,소규모 술자리,back_gate,후문,3,21:46,21시대,108,together,붙어 앉기 선호,together_likely,같이 앉기 가능성 높음,87.4,3,둥근테이블,술집,30,22,8,0.2667,4,4,30,7,together_single,1,false,0,,현재 빈 테이블 기준으로 4인 테이블 1개 배정이 가능합니다.
req-00089,3,친구 모임,front_gate,정문,8,22:22,22시대,125,split_ok,일부 분리 가능,together_likely,같이 앉기 가능성 높음,90.2,2,긴테이블집,한식주점,30,30,0,0,10,10,30,5,together_single,1,false,0,,현재 빈 테이블 기준으로 10인 긴 테이블 1개 배정이 가능합니다.
req-00075,3,학생회 행사 후 모임,back_gate,후문,9,22:25,22시대,127,split_ok,일부 분리 가능,split_only,분리 착석 가능,45.97,1,골목분식포차,분식포차,14,10,4,0.2857,4,4,14,3,split,3,true,2,후문마당 | 둥근테이블,붙어 앉기는 어렵지만 현재 빈 테이블 3개로 분리 착석은 가능합니다.
